Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2014,12,12,05:00,UTC,,20,,,6.9,,
2014,12,12,06:00,UTC,,26,,,6.6,,
2014,12,12,07:00,UTC,,34,,,8.4,,
2014,12,12,08:00,UTC,,33,,,11.7,,
2014,12,12,09:00,UTC,,29,,,11.4,,
2014,12,12,10:00,UTC,,35,,,11.5,,
2014,12,12,11:00,UTC,,33,,,11.3,,
2014,12,12,12:00,UTC,,33,,,,,
2014,12,12,13:00,UTC,,36,,,,,
2014,12,12,14:00,UTC,,34,,,,,
2014,12,12,15:00,UTC,,33,,,,,
2014,12,12,16:00,UTC,,33,,,,,
2014,12,12,17:00,UTC,,30,,,,,
2014,12,12,18:00,UTC,,25,,,18.4,,
2014,12,12,19:00,UTC,,30,,,17.9,,
2014,12,12,20:00,UTC,,24,,,14.5,,
2014,12,12,21:00,UTC,,24,,,12.7,,
2014,12,12,22:00,UTC,,19,,,10.1,,
2014,12,12,23:00,UTC,,18,,,8.7,,
2014,12,13,00:00,UTC,,19,,,8.3,,
2014,12,13,01:00,UTC,,8,,,7.4,,
2014,12,13,02:00,UTC,,10,,,6.5,,
2014,12,13,03:00,UTC,,7,,,5.6,,
2014,12,13,04:00,UTC,,14,,,5,,
2014,12,13,05:00,UTC,,8,,,4.5,,
2014,12,13,06:00,UTC,,8,,,5.2,,
2014,12,13,07:00,UTC,,11,,,6.3,,
2014,12,13,08:00,UTC,,13,,,7.3,,
2014,12,13,09:00,UTC,,23,,,8.2,,
2014,12,13,10:00,UTC,,25,,,8.7,,
2014,12,13,11:00,UTC,,22,,,10.2,,
2014,12,13,12:00,UTC,,19,,,10.6,,
2014,12,13,13:00,UTC,,19,,,12,,
2014,12,13,14:00,UTC,,20,,,12.2,,
2014,12,13,15:00,UTC,,19,,,11.5,,
2014,12,13,16:00,UTC,,23,,,10.3,,
2014,12,13,17:00,UTC,,16,,,10.7,,
2014,12,13,18:00,UTC,,15,,,10.5,,
2014,12,13,19:00,UTC,,12,,,10.4,,
2014,12,13,20:00,UTC,,10,,,9.6,,
2014,12,13,21:00,UTC,,12,,,9.3,,
2014,12,13,22:00,UTC,,11,,,8.7,,
2014,12,13,23:00,UTC,,8,,,8.3,,
2014,12,14,00:00,UTC,,4,,,7.9,,
2014,12,14,01:00,UTC,,3,,,7.2,,
2014,12,14,02:00,UTC,,8,,,8,,
2014,12,14,03:00,UTC,,9,,,9.1,,
2014,12,14,04:00,UTC,,8,,,8.7,,
2014,12,14,05:00,UTC,,11,,,9.3,,
2014,12,14,06:00,UTC,,4,,,9,,
2014,12,14,07:00,UTC,,5,,,9.1,,
2014,12,14,08:00,UTC,,6,,,9.1,,
2014,12,14,09:00,UTC,,10,,,9.7,,
2014,12,14,10:00,UTC,,11,,,9.2,,
2014,12,14,11:00,UTC,,16,,,9,,
2014,12,14,12:00,UTC,,16,,,8.8,,
2014,12,14,13:00,UTC,,26,,,9,,
2014,12,14,14:00,UTC,,17,,,8.4,,
2014,12,14,15:00,UTC,,33,,,7.6,,
2014,12,14,16:00,UTC,,15,,,7.3,,
2014,12,14,17:00,UTC,,20,,,7.2,,
2014,12,14,18:00,UTC,,23,,,6.3,,
2014,12,14,19:00,UTC,,31,,,7.1,,
2014,12,14,20:00,UTC,,29,,,6.8,,
2014,12,14,21:00,UTC,,30,,,6.5,,
2014,12,14,22:00,UTC,,17,,,5.2,,
2014,12,14,23:00,UTC,,9,,,6,,
2014,12,15,00:00,UTC,,7,,,5.7,,
2014,12,15,01:00,UTC,,10,,,6.1,,
2014,12,15,02:00,UTC,,16,,,5.8,,
2014,12,15,03:00,UTC,,9,,,5.9,,
2014,12,15,04:00,UTC,,23,,,6.6,,
2014,12,15,05:00,UTC,,27,,,8.6,,
2014,12,15,06:00,UTC,,41,,,12.5,,
